 0, 3, 5, 7, 12  0.19284020800009968 1.1021019887701886
 0, 4, 10, 11, 14 0.2022315319082082 1.089206868110845
 0, 2, 7, 9, 13  0.1938976112768608 1.1002875655493267
 3, 7, 9, 13, 14  0.18412323979420755 1.1037160745181653
 0, 3, 8, 11, 13  0.1908915534129633 1.0879445722972745
 2, 9, 10, 12, 14  0.19083858141149096 1.1059755181430577
 2, 4, 5, 10, 14  0.19547381679846385 1.0937084709049407
 3, 4, 8, 10, 12  0.1910549152001123 1.0973149406263407
 0, 1, 3, 7, 14 0.19638442204471954 1.0983503968144896
 0, 1, 6, 7, 14  0.20050933697506512 1.0878738256484874
 4, 5, 7, 12, 14  0.19580142420231664 1.1026059760549138
 3, 10, 12, 13, 14  0.1885576983709882 1.1026615028682627
 0, 5, 7, 10, 12  0.1979604029712673 1.1017705580368566
1, 3, 7, 8, 10  0.18929712407376875 1.1042593297566965
 0, 2, 3, 6, 14  0.1933559455674567 1.102721642523788
 0, 1, 2, 4, 14  0.19938620988422942 1.1048642595549518
 2, 4, 9, 12, 14  0.1909349441919493 1.0868263167485552
 0, 9, 11, 13, 14  0.19249263669032626 1.0984091017615225
 1, 3, 6, 8, 11  0.19144871565614055 1.0934418673890591
 0, 6, 7, 10, 11  0.19686569885006663 1.1083021409639353
 0, 2, 4, 6, 11  0.19377310607638543 1.105094523414602
 0, 6, 7, 10, 14  0.19459143291735806 1.0922569094894587
 0, 3, 9, 11, 14  0.19113040138160872 1.106285627351521
 0, 1, 3, 7, 14  0.19638442204471954 1.0983503968144896
 0, 5, 6, 8, 10  0.20134887894586853 1.0818400047389924
 1, 5, 6, 7, 13  0.19023272512066433 1.1087505669610986
 0, 2, 7, 11, 14  0.19416203208713187 1.1083777830059514
 0, 5, 8, 10, 14  0.19824181321902143 1.103691204334271
 2, 3, 5, 10, 12 0.19107100936993346 1.104341930330678
 2, 4, 7, 12, 14  0.19315318796012484 1.106275096277325
 1, 3, 6, 10, 11  0.19020910961814552 1.1048188064041458
 1, 2, 6, 11, 12  0.19218870888581738 1.1084679974282934
 2, 4, 5, 7, 8  0.19481230174431743 1.087913915980661
 0, 7, 12, 13, 14  0.19481912604090998 1.0783901823743114
 1, 6, 7, 8, 9  0.19008505749787916 1.1041231598021246
 1, 3, 8, 10, 11  0.19031506855059752 1.109227636576931
 1, 2, 5, 11, 12  0.1924065295188852 1.1061419114498552
 0, 6, 7, 9, 12  0.19877968868372783 1.0896524200343463
 2, 3, 4, 6, 12  0.19584879880531506 1.0886082952857377
 6, 9, 12, 13, 14  0.1980899644793027 1.1205214970655728
 2, 3, 5, 6, 14  0.19605432938734532 1.1078367821654114
 1, 4, 10, 11, 14  0.19129608971327977 1.1096063157526304
 2, 4, 6, 8, 12  0.1967857430510867 1.086376858971703
 4, 5, 6, 8, 14  0.19002302731815526 1.1010001293947667
 0, 1, 7, 12, 14  0.19788113210811503 1.0961847366992148
 0, 5, 8, 9, 10  0.19672897257237895 1.1029209267120421
 4, 5, 6, 9, 13  0.19040901880541697 1.1027464642193396
 1, 2, 3, 8, 13  0.18294805315127327 1.1068588326838715
 0, 4, 7, 9, 14  0.20419908186419336 1.0863488073736869
 1, 2, 5, 9, 10  0.19616048078070575 1.1306384805360143
 4, 7, 9, 11, 13  0.19671243207054323 1.1168198342917754
